CustomerID,LastPurchase,FirstPurchase,NumTransactions,TotalSpend,TotalItems,UniqueProducts,UniqueCategories,PrimaryCountry,Recency,CustomerLifespan,AOV,PurchaseFreqPerMonth,IsUK,R_Score,F_Score,M_Score,RFM_Score,CustomerSegment,behavioral_entropy
12346,2011-01-18 10:01:00,2009-12-14 08:34:00,12,77556.45,74285,27,3,United Kingdom,325,400,6463.037760416667,0.8999999999999999,1,2,5,5,12,At Risk,0.0032724709402269726
12347,2011-12-07 15:52:00,2010-10-31 14:20:00,8,5633.32,3286,126,10,Iceland,1,402,704.1649780273438,0.5970149253731343,0,5,4,5,14,Champions,0.8293444722807721
12348,2011-09-25 13:13:00,2010-09-27 14:59:00,5,1658.4,2704,24,6,Finland,74,362,331.6800048828125,0.4143646408839779,0,3,4,4,11,Potential Loyal,0.6319287753770887
12349,2011-11-21 09:51:00,2010-04-29 13:20:00,3,3678.69,1621,137,9,Italy,18,570,1226.22998046875,0.15789473684210525,0,5,3,5,13,Champions,0.6256861341744414
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,294.4,196,16,5,Norway,309,0,294.3999938964844,1.0,0,2,1,2,5,Lost,0.6263551806418188
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,261,21,5,Unspecified,374,0,300.92999267578125,1.0,0,2,1,2,5,Lost,0.5096591538751629
12352,2011-11-03 14:37:00,2010-11-12 10:20:00,9,1729.54,714,68,6,Norway,35,356,192.17111545138889,0.7584269662921348,0,4,5,4,13,Champions,0.6411732118833675
12353,2011-05-19 17:47:00,2010-10-27 12:44:00,2,406.76,212,23,5,Bahrain,203,204,203.3800048828125,0.29411764705882354,0,2,2,2,6,Lost,0.5275793480401487
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,530,58,7,Spain,231,0,1079.4000244140625,1.0,0,2,1,3,6,Lost,0.629893414666519
12355,2011-05-09 13:49:00,2010-05-21 11:59:00,2,947.61,543,35,6,Bahrain,213,353,473.80499267578125,0.16997167138810196,0,2,2,3,7,Lost,0.5715882785690798
12356,2011-11-17 08:40:00,2010-10-11 09:42:00,6,5613.68,3377,103,8,Portugal,22,401,935.6133626302084,0.44887780548628425,0,4,4,5,13,Champions,0.5240072462849482
12357,2011-11-06 16:07:00,2010-11-16 10:05:00,2,17437.66,6586,260,10,Switzerland,32,355,8718.830078125,0.16901408450704225,0,4,2,5,11,Loyal,0.7521537519649664
12358,2011-12-08 10:26:00,2009-12-08 07:59:00,5,3447.0698,1068,55,7,Austria,1,730,689.41396484375,0.20547945205479454,0,5,4,5,14,Champions,0.4598343489573653
12359,2011-10-13 12:47:00,2009-12-05 13:32:00,10,8935.939,2752,305,9,Cyprus,57,676,893.5939453125,0.4437869822485207,0,4,5,5,14,Champions,0.7469388344516696
12360,2011-10-18 15:22:00,2010-02-22 09:32:00,6,3612.8901,2443,159,8,Austria,51,603,602.1483561197916,0.29850746268656714,0,4,4,5,13,Champions,0.7763816053431808
12361,2011-02-25 13:51:00,2010-01-26 14:37:00,4,451.25,231,17,3,Belgium,286,394,112.8125,0.30456852791878175,0,2,3,2,7,At Risk,0.3819091969980196
12362,2011-12-06 15:40:00,2011-02-17 10:30:00,10,4737.23,2197,200,10,Belgium,2,292,473.722998046875,1.0273972602739727,0,5,5,5,15,Champions,0.7799518354203565
12363,2011-08-22 10:18:00,2011-04-11 13:29:00,2,552.0,408,23,6,Unspecified,109,132,276.0,0.45454545454545453,0,3,2,2,7,Potential Loyal,0.6417745092083742
12364,2011-12-02 10:22:00,2011-08-19 15:24:00,4,1208.1,1499,69,7,Belgium,7,104,302.0249938964844,1.1538461538461537,0,5,3,3,11,Loyal,0.6722765277144377
12365,2011-02-21 13:51:00,2011-02-21 13:51:00,1,320.69,173,21,5,Cyprus,290,0,320.69000244140625,1.0,0,2,1,2,5,Lost,0.5356489909093493
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24002,296,3,3,Cyprus,633,0,500.2400207519531,1.0,0,1,1,2,4,Lost,0.47680676500937674
