StockCode,Description,Category,TotalRevenue,TotalQty,NumInvoices,NumCustomers,AvgPrice,MaxPrice,RevenueRank,IsSingleCustomerProduct,Label
82484,WOOD BLACK BOARD ANT WHITE FINISH,Home Decor,60513.09,10893,1048,451,6.9418135,16.63,15,0,WOOD BLACK BOARD ANT WHITE FINISH
20685,DOORMAT RED RETROSPOT,Home Decor,61829.13,9545,1478,626,7.4201584,15.79,14,0,DOORMAT RED RETROSPOT
85099F,JUMBO BAG STRAWBERRY,Bags,64601.65,36098,1514,549,1.9572651,4.13,13,0,JUMBO BAG STRAWBERRY
48138,DOORMAT UNION FLAG,Home Decor,64973.98,9974,1511,678,7.41587,15.79,12,0,DOORMAT UNION FLAG
21137,BLACK RECORD COVER FRAME,Frames,67209.445,19629,539,198,3.6290648,7.46,11,0,BLACK RECORD COVER FRAME
22386,JUMBO BAG PINK POLKADOT,Bags,68439.19,37711,1767,601,1.9695785,4.13,10,0,JUMBO BAG PINK POLKADOT
79321,CHILLI LIGHTS,Lighting,72860.14,15735,922,304,5.1289687,12.46,9,0,CHILLI LIGHTS
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,Christmas,79594.33,29477,1691,896,2.9193358,5.79,8,0,PAPER CHAIN KIT 50'S CHRISTMAS 
23166,MEDIUM CERAMIC TOP STORAGE JAR,Kitchen,81416.73,77916,195,138,1.220303,1.25,7,0,MEDIUM CERAMIC TOP STORAGE JAR
47566,PARTY BUNTING,Kitchen,103880.23,23607,2077,894,4.7715793,10.79,6,0,PARTY BUNTING
84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,127074.17,79913,2652,1010,1.6764027,1.69,5,0,ASSORTED COLOUR BIRD ORNAMENT
23843,"PAPER CRAFT , LITTLE BIRDIE",Stationery,168469.6,80995,1,1,2.08,2.08,4,1,"PAPER CRAFT , LITTLE BIRDIE"
85099B,JUMBO BAG RED RETROSPOT,Bags,170616.67,94983,3260,978,1.959759,4.13,3,0,JUMBO BAG RED RETROSPOT
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Lighting,252227.81,93697,4895,1490,2.8703663,5.79,2,0,WHITE HANGING HEART T-LIGHT HOLDER
22423,REGENCY CAKESTAND 3 TIER,Kitchen,286486.28,24899,3317,1314,12.461071,24.96,1,0,REGENCY CAKESTAND 3 TIER
