YearMonth,Total,Cancelled,CancelRate
2009-12,1874,372,0.1985058697972251
2010-01,1194,231,0.1934673366834171
2010-02,1306,213,0.1630934150076569
2010-03,1854,345,0.186084142394822
2010-04,1574,258,0.1639135959339263
2010-05,1744,379,0.2173165137614678
2010-06,1789,310,0.1732811626607043
2010-07,1671,309,0.1849192100538599
2010-08,1509,233,0.1544068919814446
2010-09,1975,316,0.16
2010-10,2510,402,0.1601593625498008
2010-11,3105,535,0.1723027375201288
2010-12,1691,297,0.1756357185097575
2011-01,1225,242,0.1975510204081632
2011-02,1180,188,0.159322033898305
2011-03,1588,276,0.1738035264483627
2011-04,1358,219,0.1612665684830633
2011-05,1808,264,0.1460176991150442
2011-06,1686,296,0.1755634638196915
2011-07,1555,234,0.1504823151125402
2011-08,1504,237,0.1575797872340425
2011-09,2037,298,0.1462935689739813
2011-10,2208,305,0.1381340579710145
2011-11,3033,391,0.1289152654137817
2011-12,912,136,0.1491228070175438
