CustomerID,Cat1,Cat2,Cat3
12346,Home Decor,Home Decor,Home Decor
12347,Home Decor,Home Decor,Kitchen
12348,Home Decor,Kitchen,Home Decor
12349,Kitchen,Home Decor,Home Decor
12352,Signs,Home Decor,Home Decor
12356,Kitchen,Kitchen,Home Decor
12358,Home Decor,Stationery,Home Decor
12359,Home Decor,Cards/Gift,Cards/Gift
12360,Home Decor,Home Decor,Home Decor
12361,Home Decor,Bags,Bags
12362,Home Decor,Home Decor,Home Decor
12364,Kitchen,Home Decor,Home Decor
12369,Home Decor,Cards/Gift,Christmas
12370,Kitchen,Kitchen,Frames
12371,Home Decor,Home Decor,Home Decor
12372,Home Decor,Cards/Gift,Home Decor
12373,Bags,Home Decor,Bags
12374,Home Decor,Home Decor,Home Decor
12375,Bags,Bags,Bags
12377,Kitchen,Home Decor,Home Decor
12379,Kitchen,Bags,Kitchen
12380,Bags,Bags,Kitchen
12381,Home Decor,Kitchen,Lighting
12383,Kitchen,Kitchen,Kitchen
12384,Home Decor,Kitchen,Home Decor
12388,Home Decor,Home Decor,Kitchen
12389,Home Decor,Bags,Home Decor
12391,Kitchen,Bags,Kitchen
12393,Bags,Bags,Bags
12395,Home Decor,Bags,Home Decor
12399,Kitchen,Home Decor,Bags
12402,Bags,Home Decor,Kitchen
12406,Home Decor,Home Decor,Home Decor
12407,Kitchen,Kitchen,Kitchen
12408,Home Decor,Bags,Bags
12409,Home Decor,Home Decor,Home Decor
12410,Home Decor,Home Decor,Clocks
12412,Home Decor,Home Decor,Home Decor
12413,Kitchen,Home Decor,Home Decor
12414,Stationery,Stationery,Kitchen
12415,Home Decor,Home Decor,Christmas
12417,Kitchen,Bags,Kitchen
12418,Home Decor,Home Decor,Home Decor
12421,Kitchen,Kitchen,Christmas
12422,Bags,Bags,Bags
12423,Home Decor,Home Decor,Home Decor
12424,Kitchen,Lighting,Kitchen
12425,Home Decor,Cards/Gift,Home Decor
12426,Home Decor,Kitchen,Home Decor
12427,Kitchen,Home Decor,Kitchen
12428,Home Decor,Home Decor,Home Decor
12429,Signs,Kitchen,Signs
12431,Home Decor,Home Decor,Bags
12432,Home Decor,Home Decor,Home Decor
12433,Home Decor,Kitchen,Home Decor
12434,Home Decor,Bags,Home Decor
12435,Lighting,Cards/Gift,Home Decor
12437,Home Decor,Kitchen,Kitchen
12439,Home Decor,Kitchen,Home Decor
12440,Kitchen,Kitchen,Home Decor
12444,Home Decor,Kitchen,Home Decor
12445,Home Decor,Lighting,Lighting
12449,Kitchen,Home Decor,Kitchen
12450,Bags,Kitchen,Kitchen
12451,Home Decor,Home Decor,Bags
12454,Home Decor,Home Decor,Home Decor
12455,Home Decor,Kitchen,Kitchen
12456,Home Decor,Kitchen,Kitchen
12457,Home Decor,Home Decor,Home Decor
12458,Cards/Gift,Kitchen,Home Decor
12462,Kitchen,Kitchen,Kitchen
12463,Home Decor,Home Decor,Lighting
12464,Home Decor,Home Decor,Home Decor
12465,Home Decor,Christmas,Home Decor
12468,Bags,Home Decor,Home Decor
12471,Home Decor,Home Decor,Home Decor
12472,Lighting,Cards/Gift,Home Decor
12473,Home Decor,Cards/Gift,Bags
12474,Kitchen,Home Decor,Home Decor
12476,Home Decor,Home Decor,Home Decor
12477,Home Decor,Home Decor,Home Decor
12479,Kitchen,Kitchen,Stationery
12480,Home Decor,Kitchen,Kitchen
12481,Home Decor,Bags,Home Decor
12482,Home Decor,Home Decor,Home Decor
12483,Home Decor,Bags,Home Decor
12484,Kitchen,Home Decor,Home Decor
12488,Home Decor,Home Decor,Home Decor
12490,Home Decor,Home Decor,Home Decor
12492,Kitchen,Home Decor,Bags
12493,Bags,Home Decor,Bags
12494,Bags,Kitchen,Home Decor
12497,Stationery,Stationery,Cards/Gift
12498,Home Decor,Bags,Home Decor
12500,Home Decor,Home Decor,Home Decor
12502,Kitchen,Home Decor,Home Decor
12504,Kitchen,Kitchen,Kitchen
12507,Kitchen,Kitchen,Kitchen
12510,Lighting,Home Decor,Bags
12516,Kitchen,Kitchen,Bags
12517,Bags,Home Decor,Bags
12518,Home Decor,Kitchen,Home Decor
12519,Home Decor,Kitchen,Kitchen
12520,Home Decor,Kitchen,Kitchen
12523,Kitchen,Home Decor,Home Decor
12524,Home Decor,Bags,Home Decor
12525,Home Decor,Bags,Home Decor
12526,Home Decor,Bags,Home Decor
12527,Kitchen,Kitchen,Bags
12528,Kitchen,Kitchen,Kitchen
12530,Bags,Bags,Bags
12531,Kitchen,Home Decor,Home Decor
12533,Home Decor,Kitchen,Lighting
12539,Home Decor,Home Decor,Cards/Gift
12540,Bags,Kitchen,Home Decor
12541,Kitchen,Home Decor,Christmas
12542,Kitchen,Kitchen,Kitchen
12546,Christmas,Stationery,Home Decor
12547,Kitchen,Home Decor,Stationery
12549,Kitchen,Home Decor,Stationery
12553,Home Decor,Home Decor,Home Decor
12557,Home Decor,Home Decor,Kitchen
12559,Kitchen,Kitchen,Home Decor
12560,Kitchen,Kitchen,Home Decor
12562,Bags,Bags,Bags
12567,Home Decor,Kitchen,Kitchen
