StockCode,Description,Degree,PageRank,BetweennessCentrality,Community
85123A,WHITE HANGING HEART T-LIGHT HOLDER,1262,0.00531,0.427793,0
22423,REGENCY CAKESTAND 3 TIER,1102,0.003185,0.259222,2
84879,ASSORTED COLOUR BIRD ORNAMENT,946,0.003015,0.172084,0
21034,REX CASH+CARRY JUMBO SHOPPER,607,0.002336,0.013058,0
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,521,0.002267,0.030872,0
21232,STRAWBERRY CERAMIC TRINKET BOX,626,0.002231,0.031662,1
47566,PARTY BUNTING,767,0.002141,0.11951,2
21212,PACK OF 72 RETROSPOT CAKE CASES,747,0.002098,0.036812,1
22178,VICTORIAN GLASS HANGING T-LIGHT,539,0.001947,0.015605,0
22139,RETROSPOT TEA SET CERAMIC 11 PC ,705,0.001945,0.012723,1
22138,BAKING SET 9 PIECE RETROSPOT ,645,0.001922,0.055072,1
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,427,0.001869,0.062971,0
21754,HOME BUILDING BLOCK WORD,613,0.00186,0.012102,0
22469,HEART OF WICKER SMALL,594,0.001809,0.012466,0
82494L,WOODEN FRAME ANTIQUE WHITE ,569,0.001797,0.017912,0
20725,LUNCH BAG RED RETROSPOT,660,0.001767,0.055078,1
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,590,0.001761,0.004909,1
85099B,JUMBO BAG RED RETROSPOT,804,0.001736,0.194297,1
22457,NATURAL SLATE HEART CHALKBOARD ,614,0.001721,0.013554,0
82482,WOODEN PICTURE FRAME WHITE FINISH,528,0.001717,0.013989,0
22197,SMALL POPCORN HOLDER,584,0.001713,0.007163,1
23084,RABBIT NIGHT LIGHT,298,0.001632,0.026307,0
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,379,0.001629,0.006832,1
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,511,0.001627,0.036001,1
21790,VINTAGE SNAP CARDS,534,0.001627,0.017143,1
21731,RED TOADSTOOL LED NIGHT LIGHT,365,0.001584,0.008638,1
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,442,0.001583,0.006375,2
22470,HEART OF WICKER LARGE,529,0.00155,0.013262,0
84946,ANTIQUE SILVER TEA GLASS ETCHED,477,0.00155,0.012126,0
82486,WOOD S/3 CABINET ANT WHITE FINISH,400,0.001532,0.002043,0
84991,60 TEATIME FAIRY CAKE CASES,486,0.00151,0.005426,1
48138,DOORMAT UNION FLAG,524,0.001503,0.009535,2
21977,PACK OF 60 PINK PAISLEY CAKE CASES,477,0.001487,0.001274,1
21755,LOVE BUILDING BLOCK WORD,457,0.001477,0.005308,0
22077,6 RIBBONS RUSTIC CHARM,493,0.001463,0.002733,0
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,457,0.001452,0.001538,0
23298,SPOTTY BUNTING,404,0.001439,0.001829,0
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,308,0.001421,0.016296,0
21621,VINTAGE UNION JACK BUNTING,429,0.00141,0.004546,0
22149,FELTCRAFT 6 FLOWER FRIENDS,432,0.001409,0.005218,1
22960,JAM MAKING SET WITH JARS,383,0.001409,0.003016,2
