feature,treatment,control,mean_importance
CustomerLifespan,0.28933233,0.21282794,0.25108013
NumTransactions,0.12906279,0.12739682,0.1282298
F_Score,0.081700854,0.12596805,0.10383445
PurchaseFreqPerMonth,0.15100208,0.04754602,0.099274054
mu_imputed,0.04605754,0.1282266,0.087142065
clv_imputed,0.07374205,0.08223288,0.07798746
p_alive_imputed,0.045054395,0.083715715,0.06438506
alpha_imputed,0.03743178,0.06677851,0.052105144
TotalSpend,0.050108828,0.026807118,0.038457975
M_Score,0.046064865,0.02515449,0.035609677
behavioral_entropy,0.024718698,0.021637402,0.02317805
AOV,0.025723813,0.016638165,0.02118099
IsUK,0.0,0.035070315,0.017535158
