CustomerID,LastPurchase,FirstPurchase,NumTransactions,TotalSpend,TotalItems,UniqueProducts,UniqueCategories,PrimaryCountry,Recency,CustomerLifespan,AOV,PurchaseFreqPerMonth,IsUK,R_Score,F_Score,M_Score,RFM_Score,CustomerSegment,behavioral_entropy,p_alive,predicted_clv_12m,mu,alpha,beta,LastPurchaseObs,RecencyAtObsEnd,treatment,outcome,p_alive_imputed,clv_imputed,mu_imputed,alpha_imputed,propensity_score,iptw_weight,CATE,p1_score,p0_score,UpliftSegment,expected_orders,expected_orders_capped,CounterfactualCLV
12346,2011-01-18 10:01:00,2009-12-14 08:34:00,12,77556.45,74285,27,3,United Kingdom,325,400,6463.037760416667,0.8999999999999999,1,2,5,5,12,At Risk,0.0032724709402269,0.8650706649143839,35934.68945634683,0.0201138601764551,11.039444032323017,30.717553982068907,2011-01-18 10:17:00,132,1,0,0.8650706649143839,35934.68945634683,0.0201138601764551,11.039444032323017,0.14111689096996827,1.4434207301212254,-0.7546967,0.20019469,0.9548914,Lost Cause,2.6999999999999997,2.6999999999999997,0.0
12347,2011-12-07 15:52:00,2010-10-31 14:20:00,8,5633.32,3286,126,10,Iceland,1,402,704.1649780273438,0.5970149253731343,0,5,4,5,14,Champions,0.8293444722807721,0.9001417124766334,2985.0169447683197,0.0198973392159298,5.4948106683419626e-14,0.2516140672169518,2011-04-07 10:43:00,53,0,1,0.9001417124766334,2985.0169447683197,0.0198973392159298,5.4948106683419626e-14,0.2796962600307662,1.1055182834920496,-0.6678722,0.32478154,0.9926537,Lost Cause,1.791044776119403,1.791044776119403,0.0
12348,2011-09-25 13:13:00,2010-09-27 14:59:00,5,1658.4,2704,24,6,Finland,74,362,331.6800048828125,0.4143646408839779,0,3,4,4,11,Potential Loyal,0.6319287753770887,0.9053696760968512,1520.6628568698418,0.0137769010502953,2.3240876667524863e-13,39.46453726907609,2011-04-05 10:47:00,55,0,1,0.9053696760968512,1520.6628568698418,0.0137769010502953,2.3240876667524863e-13,0.3444275235463595,1.2146772215199961,-0.83462304,0.15445697,0.98908,Lost Cause,1.2430939226519337,1.2430939226519337,0.0
12349,2011-11-21 09:51:00,2010-04-29 13:20:00,3,3678.69,1621,137,9,Italy,18,570,1226.22998046875,0.1578947368421052,0,5,3,5,13,Champions,0.6256861341744414,,,0.0052552728091399,6.057593943867407e-14,0.3746899089899576,2010-10-28 08:23:00,214,0,1,0.9202453727086484,0.0,0.0052552728091399,6.057593943867407e-14,0.3513535535159914,1.2276471389307502,-0.017283618,0.98192525,0.99920887,Sleeping Dog,0.47368421052631576,0.47368421052631576,0.0
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,294.4,196,16,5,Norway,309,0,294.3999938964844,1.0,0,2,1,2,5,Lost,0.6263551806418188,,,,,,2011-02-02 16:01:00,117,1,0,0.9202453727086484,0.0,0.0158648860999588,1.489627223352277e-11,0.11562941862343003,1.7615849687843623,-0.49907586,0.012079798,0.51115566,Lost Cause,90.0,90.0,0.0
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,261,21,5,Unspecified,374,0,300.92999267578125,1.0,0,2,1,2,5,Lost,0.5096591538751629,,,,,,2010-11-29 15:23:00,182,0,0,0.9202453727086484,0.0,0.0158648860999588,1.489627223352277e-11,0.12172176294665679,0.9066704839178731,-0.37606594,0.026236301,0.40230224,Lost Cause,90.0,90.0,0.0
12352,2011-11-03 14:37:00,2010-11-12 10:20:00,9,1729.54,714,68,6,Norway,35,356,192.17111545138889,0.7584269662921348,0,4,5,4,13,Champions,0.6411732118833675,0.8615416151175026,1298.2381386645618,0.024776573899576,0.0014015783014194,0.0626795423102948,2011-03-22 16:08:00,69,1,1,0.8615416151175026,1298.2381386645618,0.024776573899576,0.0014015783014194,0.33910875263859536,0.6006658460195876,-0.5508691,0.40953985,0.9604089,Lost Cause,2.2752808988764044,2.2752808988764044,0.0
12353,2011-05-19 17:47:00,2010-10-27 12:44:00,2,406.76,212,23,5,Bahrain,203,204,203.3800048828125,0.2941176470588235,0,2,2,2,6,Lost,0.5275793480401487,,,,,,2011-05-19 17:47:00,11,0,0,0.9202453727086484,0.0,0.0158648860999588,1.489627223352277e-11,0.2527805513388399,1.065696236400816,0.20620519,0.5498194,0.34361422,Persuadable,0.8823529411764706,0.8823529411764706,37.00412858123266
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,530,58,7,Spain,231,0,1079.4000244140625,1.0,0,2,1,3,6,Lost,0.629893414666519,,,,,,2011-04-21 13:11:00,39,0,0,0.9202453727086484,0.0,0.0158648860999588,1.489627223352277e-11,0.11213378136585381,0.8968794368916269,-0.47521552,0.020388192,0.4956037,Lost Cause,90.0,90.0,0.0
12355,2011-05-09 13:49:00,2010-05-21 11:59:00,2,947.61,543,35,6,Bahrain,213,353,473.8049926757813,0.1699716713881019,0,2,2,3,7,Lost,0.5715882785690798,,,,,,2011-05-09 13:49:00,21,0,0,0.9202453727086484,0.0,0.0158648860999588,1.489627223352277e-11,0.27490979915292907,1.0982205431454188,-0.29537338,0.46419865,0.759572,Lost Cause,0.509915014164306,0.509915014164306,0.0
