StockCode,gift_suitability,seasonal_relevance,impulse_purchase_likelihood,price_tier,bulk_order_likely
22423,5,none,3,mid-range,True
85123A,4,christmas,5,budget,False
85099B,5,spring/summer,2,mid-range,True
23843,4,christmas,5,budget,False
84879,3,none,4,mid-range,True
47566,5,christmas,3,budget,False
23166,4,none,2,mid-range,True
22086,5,christmas,3,budget,False
79321,4,summer,5,mid-range,True
22386,3,spring/summer,4,budget,False
21137,5,none,2,mid-range,True
48138,3,none,4,budget,False
85099F,5,spring/summer,3,mid-range,True
20685,4,none,5,budget,False
82484,3,all-year,4,mid-range,True
20725,5,spring/summer,2,budget,False
21843,4,christmas,5,mid-range,True
22197,3,none,4,budget,False
84347,5,christmas,3,mid-range,True
22502,4,spring/summer,5,budget,False
21621,3,christmas,4,mid-range,True
15056N,5,none,2,budget,False
85099C,4,spring/summer,3,mid-range,True
22189,5,none,2,budget,False
22470,4,christmas,5,mid-range,True
